"ticker","entity","concept","fy","fp","form","start","end","days","val","filed","accn","frame"
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q2","10-Q","2022-01-31","2022-07-31","181","14489000000","2023-08-22","0000354950-23-000185",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q2","10-Q","2022-05-02","2022-07-31","90","7273000000","2022-08-23","0000354950-22-000193",""
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q2","10-Q","2022-05-02","2022-07-31","90","7273000000","2023-08-22","0000354950-23-000185","CY2022Q2"
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q3","10-Q","2022-01-31","2022-10-30","272","21565000000","2022-11-22","0000354950-22-000239",""
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q3","10-Q","2022-01-31","2022-10-30","272","21565000000","2023-11-21","0000354950-23-000240",""
"HD","The Home Depot, Inc.","OperatingExpenses","2022","Q3","10-Q","2022-08-01","2022-10-30","90","7076000000","2022-11-22","0000354950-22-000239",""
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q3","10-Q","2022-08-01","2022-10-30","90","7076000000","2023-11-21","0000354950-23-000240","CY2022Q3"
"HD","The Home Depot, Inc.","OperatingExpenses","2022","FY","10-K","2022-01-31","2023-01-29","363","28739000000","2023-03-15","0000354950-23-000059",""
"HD","The Home Depot, Inc.","OperatingExpenses","2023","FY","10-K","2022-01-31","2023-01-29","363","28739000000","2024-03-13","0000354950-24-000062",""
"HD","The Home Depot, Inc.","OperatingExpenses","2024","FY","10-K","2022-01-31","2023-01-29","363","28739000000","2025-03-21","0000354950-25-000085","CY2022"
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q1","10-Q","2023-01-30","2023-04-30","90","7006000000","2023-05-23","0000354950-23-000144",""
"HD","The Home Depot, Inc.","OperatingExpenses","2024","Q1","10-Q","2023-01-30","2023-04-30","90","7006000000","2024-05-21","0000354950-24-000152","CY2023Q1"
"HD","The Home Depot, Inc.","OperatingExpenses","2023","Q2","10-Q","2023-01-30","2023-07-30","181","14574000000","2023-08-22","0000354950-23-000185",""
"HD","The Home Depot, Inc.","OperatingExpenses","2024","Q2","10-Q","2023-01-30","2023-07-30","181","14574000000","2024-08-20","0000354950-24-000201",""
